uri	name	issn	eissn	
	Molecular Medicine	1076-1551		
	Molecular Medicine Reports	1791-2997		
	Molecular Neurobiology	0893-7648		
	Molecular Neurodegeneration	1750-1326		
	Molecular Nutrition and Food Research	1613-4125		
	Molecular Oral Microbiology	2041-1006	2041-1014	
	Molecular Pain	1744-8069		
	Molecular Pharmaceutics	1543-8384		
	Molecular Pharmacology	0026-895X	1521-0111	
	Molecular Physics	0026-8976		
	Molecular Plant	1674-2052		
	Molecular Plant Pathology	1464-6722		
	Molecular Psychiatry	1359-4184		
	Molecular Reproduction and Development	1040-452X		
	Molecular Simulation	0892-7022		
	Molecular Systems Biology	1744-4292		
	Molecular Therapy	1525-0016	1525-0024	
	Molecular Urology	1091-5362		
	Molecular and Biochemical Parasitology	0166-6851		
	Molecular and Cellular Biochemistry	0300-8177	1573-4919	
	Molecular and Cellular Biology	0270-7306		
	Molecular and Cellular Biology	1098-5549	1098-5549	
	Molecular and Cellular Endocrinology	0303-7207	1872-8057	
	Molecular and Cellular Neuroscience	1044-7431		
	Molecular and Cellular Probes	0890-8508		
	Molecular and Cellular Proteomics	1535-9476	1535-9484	
	Molecular and general genetics MGG	0026-8925	1432-1874	
	Molecular bioSystems	1742-206X		
	Molecular biotechnology	1073-6085		
	Molecular cancer	1476-4598		
	Molecular cell	1097-2765		
	Molecular cell biology research communications	1522-4724		
	Molecular ecology	0962-1083	1365-294X	
	Molecular genetics and metabolism	1096-7192	1096-7206	
	Molecular human reproduction	1360-9947		
	Molecular immunology	0161-5890		
	Molecular interventions	1534-0384		
	Molecular membrane biology	0968-7688		
	Molecular microbiology	0950-382X		
	Molecular phylogenetics and evolution	1055-7903	1095-9513	
	Molecular plant-microbe interactions MPMI	0894-0282		
	Molecular vision	1090-0535		
	Molecules	1420-3049		
	Molecules Annual	1420-3049		
	Molecules and Cells	1016-8478		
	Monatshefte Fur Chemie	0026-9247		
	Monographs of the Society for Research in Child Development	0037-976X		
	Monthly Notices of the Royal Astronomical Society	0035-8711		
	Monthly Review-An Independent Socialist Magazine	0027-0520		
	Monthly Weather Review	0027-0644		
	Motivation and Emotion	0146-7239		
	Mount Sinai Journal of Medicine	0027-2507		
	Mountain Research and Development	0276-4741		
	Movement disorders	0885-3185	1531-8257	
	Mrs Bulletin	0883-7694		
	Mucosal Immunology	1933-0219		
	Multilingua-Journal of Cross-Cultural and Interlanguage Communication	0167-8507		
	Multiple sclerosis	1352-4585		
	Multivariate Behavioral Research	0027-3171		
	Muscle & nerve	0148-639X	1097-4598	
	Mutation Research	0027-5107		
	Mutation Research-Genetic Toxicology and Environmental Mutagenesis	1383-5718		
	Mycologia	0027-5514		
	Mycological Progress	1617-416X		
	Mycopathologia	0301-486X	1573-0832	
	Mycorrhiza	0940-6360		
	Mycotaxon	0093-4666		
	NACTA Journal	0149-4910		
	NMR in biomedicine	0952-3480		
	Nano Research	1998-0124		
	Nano Today	1748-0132		
	Nano letters	1530-6984		
	Nanomedicine	1743-5889		
	Nanomedicine-Nanotechnology Biology and Medicine	1549-9634		
	Nanoscale	2040-3364		
	Nanoscale Research Letters	1931-7573		
	Nanoscale and Microscale Thermophysical Engineering	1556-7265		
	Nanoscience and Nanotechnology Letters	1941-4900		
	Nanotechnology	0957-4484	1361-6528	
	Nanotoxicology	1743-5390		
	National Tax Journal	0028-0283		
	Natural Areas Journal	0885-8608		
	Natural Computing	1567-7818		
	Natural Hazards	0921-030X		
	Natural Hazards Review	1527-6988		
	Natural Hazards Review	1527-6988		
	Natural Hazards and Earth System Sciences	1561-8633		
	Natural History	0028-0712		
	Natural Language and Linguistic Theory	0167-806X		
	Natural Product Communications	1934-578X		
	Natural Product Reports	0265-0568	1460-4752	
	Natural Product Research	1478-6419		
	Natural Resource Modeling	0890-8575		
	Nature	0028-0836	1476-4687	
	Nature Biotechnology	1087-0156	1546-1696	
	Nature Chemistry	1755-4330		
	Nature Climate Change	1758-678X		
	Nature Clinical Practice Neurology	1745-834X		
	Nature Clinical Practice. Endocrinology & Metabolism	1745-8366	1745-8374	
	Nature Clinical Practice. Nephrology	1745-8323	1745-8331	
	Nature Clinical Practice. Rheumatology	1745-8382	1745-8390	
	Nature Communications	2041-1723		
	Nature Genetics	1061-4036		
	Nature Geoscience	1752-0894		
	Nature Immunology	1529-2908		
	Nature Materials	1476-1122		
	Nature Medicine	1078-8956		
	Nature Nanotechnology	1748-3387	1748-3395	
	Nature Photonics	1749-4885		
	Nature Physics	1745-2473	1745-2481	
	Nature Protocols	1754-2189		
	Nature Reviews Cancer	1474-175X		
	Nature Reviews Cardiology	1759-5002		
	Nature Reviews Endocrinology	1759-5029		
	Nature Reviews Gastroenterology and Hepatology	1759-5045		
	Nature Reviews Immunology	1474-1733	1474-1741	
	Nature Reviews Microbiology	1740-1526	1740-1534	
	Nature Reviews Nephrology	1759-5061	1759-507X	
	Nature Reviews Neurology	1759-4758		
	Nature Reviews Neuroscience	1471-003X		
	Nature Reviews Rheumatology	1759-4790	1759-4804	
	Nature Reviews Urology	1759-4812		
	Nature Structural &amp; Molecular Biology	1545-9993	1545-9985	
	Nature cell biology	1465-7392		
	Nature chemical biology	1552-4450		
	Nature clinical practice cardiovascular medicine	1743-4300		
	Nature genetics	1546-1718		
	Nature neuroscience	1097-6256		
	Nature reviews. Drug discovery	1474-1776		
	Nature reviews. Genetics	1471-0056		
	Nature reviews. Molecular cell biology	1471-0072		
	Naturwissenschaften	0028-1042		
	Naunyn-Schmiedebergs Archives of Pharmacology	0028-1298		
	Nautilus	0028-1344		
	Naval Research Logistics	0894-069X		
	Nefrologia	0211-6995		
	Negotiation Journal	0748-4526	1571-9979	
	Nematology	1388-5545		
	Nematropica	0099-5444		
	Neonatal network	0730-0832		
	Neonatology	1661-7800		
	Neonatology fetal and neonatal research	1661-7819		
	Neoplasia	1522-8002		
	Neotropical Entomology	1519-566X		
	Neotropical Ichthyology	1679-6225		
	Nephrologie and Therapeutique	1769-7255		
	Nephrology	1320-5358		
	Nephrology Dialysis Transplantation	0931-0509	1460-2385	
	Nephron Clinical Practice	1660-2110		
	Nephron. Physiology	1660-2129		
	Networks	0028-3045		
	Networks and Spatial Economics	1566-113X		
	Neue Rundschau	0028-3347		
	Neuphilologische Mitteilungen	0028-3754		
	Neural Computation	0899-7667	1530-888X	
	Neural Computing and Applications	0941-0643		
	Neural Development	1749-8104		
	Neural Networks	0893-6080	1879-2782	
	Neural Plasticity	0792-8483		
	Neural Regeneration Research	1673-5374		
	Neuro-Oncology	1522-8517		
	Neuro-Ophthalmology	0165-8107	1744-506X	
	Neuro-Signals	1424-862X	1424-8638	
	NeuroImage	1053-8119	1095-9572	
	NeuroRehabilitation	1053-8135		
	NeuroReport	0959-4965		
	NeuroRx	1545-5343		
	NeuroToxicology	0161-813X		
	Neurobiology of Disease	0969-9961	1095-953X	
	Neurobiology of Learning and Memory	1074-7427	1095-9564	
	Neurobiology of aging	0197-4580	1558-1497	
	Neurocase	1355-4794	1465-3656	
	Neurochemical research	0364-3190		
	Neurochemistry International	0197-0186		
	Neurocomputing	0925-2312		
	Neurocritical Care	1541-6933		
	Neurodegenerative Diseases	1660-2854		
	Neuroendocrinology	0028-3835	1423-0194	
	Neuroepidemiology	0251-5350	1423-0208	
	Neurogastroenterology and Motility	1350-1925		
	Neurogenetics	1364-6745		
	Neuroimaging Clinics of North America	1052-5149		
	Neurologia Medico-Chirurgica	0470-8105		
	Neurologic clinics	0733-8619		
	Neurological Sciences	1590-1874		
	Neurological research	0161-6412		
	Neurology	0028-3878	1526-632X	
	"Neurology	 India"	0028-3886		
	Neuromodulation	1094-7159		
	Neuromolecular Medicine	1535-1084		
	Neuromuscular disorders	0960-8966		
	Neuron	0896-6273		
	Neuropathology	0919-6544		
	Neuropeptides	0143-4179		
	Neuropharmacology	0028-3908	1873-7064	
	Neurophysiology	0090-2977	1573-9007	
	Neuropsychiatric Disease and Treatment	1176-6328		
	Neuropsychiatry	1758-2008		
	"Neuropsychiatry	 Neuropsychology	 and Behavioral Neurology"	0894-878X	1537-0887	
	Neuropsychologia	0028-3932		
	Neuropsychology	0894-4105		
	Neuropsychology review	1040-7308		
	"Neuropsychology	 development	 and cognition. Section B	 Aging	 neuropsychology	 and cognition"	1382-5585		
	Neuropsychopharmacology	0893-133X	1470-634X	
	Neuroquantology	1303-5150		
	Neurorehabilitation and Neural Repair	1545-9683	1552-6844	
	Neuroscience	0306-4522		
	Neuroscience Letters	0304-3940	1872-7972	
	Neuroscience Research	0168-0102		
	Neuroscience and biobehavioral reviews	0149-7634		
	Neurosurgery	0148-396X	1524-4040	
	Neurosurgery clinics of North America	1042-3680		
	Neurosurgical Review	0344-5607		
	Neurosurgical focus	1092-0684		
	Neurotherapeutics	1933-7213	1878-7479	
	Neurotoxicity Research	1029-8428	1476-3524	
	Neurotoxicology and Teratology	0892-0362		
	Neurourology and Urodynamics	0733-2467		
	New Astronomy	1384-1076		
	New Astronomy Reviews	1387-6473		
	New England Journal of Medicine	0028-4793	1533-4406	
	New England Review-Middlebury Series	1053-1297		
	New Forests	0169-4286		
	New Genetics and Society	1463-6778		
	New German Critique	0094-033X		
	New Journal of Chemistry	1144-0546		
	New Journal of Physics	1367-2630		
	New Media and Society	1461-4448		
	New Mexico Historical Review	0028-6206		
	New Microbiologica	1121-7138		
	New Phytologist	1469-8137		
	New Scientist	0262-4079		
	New York Review of Books	0028-7504		
	New York Times Book Review	0028-7806		
	New Zealand Journal of Agricultural Research	0028-8233		
	New Zealand Journal of Crop and Horticultural Science	0114-0671		
	New Zealand Journal of Marine and Freshwater Research	0028-8330	1175-8805	
	New Zealand Veterinary Journal	0048-0169		
	Nexus Network Journal	1590-5896		
	Nicotine & tobacco research	1462-2203	1469-994X	
	Nineteenth-Century Literature	0891-9356		
	Nitric Oxide	1089-8603	1089-8611	
	Nitric Oxide-Biology and Chemistry	1089-8603		
	Noise and Health	1463-1741		
	Nonlinear Analysis-Modelling and Control	1392-5113		
	Nonlinear Analysis-Real World Applications	1468-1218		
	Nonlinear Analysis-Theory Methods and Applications	0362-546X		
	Nonlinear Dynamics Psychology and Life Sciences	1090-0578		
	Nonprofit and Voluntary Sector Quarterly	0899-7640		
	Nordic Journal of Botany	0107-055X		
	North American Bird Bander	0363-8979		
	North American Journal of Aquaculture	1522-2055		
	North American Journal of Fisheries Management 	0275-5947	1548-8675	
	North Korean Review	1551-2789		
	Northwestern University Law Review	0029-3571		
	Notes	0027-4380		
	Notes and Queries	0029-3970		
	Notes et etudes documentaires	0071-8602		
	Notre Dame Law Review	0745-3515		
	Nottingham French Studies	0029-4586		
	Nous	0029-4624		
	Nova Hedwigia	0029-5035		
	Nova Religio-Journal of Alternative and Emergent Religions	1092-6690		
	Novel-a Forum On Fiction	0029-5132		
	Novon	1055-3177		
	Npg Asia Materials	1884-4049		
	Nuclear Engineering and Design	0029-5493	1872-759X	
	Nuclear Instruments and Methods in Physics Research Section A-Accelerators Spectrometers Detectors and Associated Equipment	0168-9002		
	Nuclear Instruments and Methods in Physics Research Section B-Beam Interactions With Materials and Atoms	0168-583X		
	Nuclear Physics B	0550-3213		
	Nuclear Physics a	0375-9474		
	Nuclear Science and Engineering	0029-5639		
	Nuclear Technology	0029-5450		
	Nucleic acids research	0305-1048	1362-4962	
	Nucleosides Nucleotides and Nucleic Acids	1525-7770		
	Nucleus-Austin	1949-1034		
	Numen-International Review for the History of Religions	0029-5973		
	Numerical Algorithms	1017-1398		
	Numerical Heat Transfer Part A-Applications	1040-7782		
	Numerical Linear Algebra With Applications	1070-5325		
	Numerical Methods for Partial Differential Equations	0749-159X		
	Nuovo Cimento Della Societa Italiana Di Fisica B-General Physics Relativity Astronomy and Mathematical Physics and Methods	1594-9982		
	Nurse educator	0363-3624		
	Nursing Research	0029-6562	1538-9847	
	Nursing economics	0746-1739		
	Nursing forum	0029-6473		
	Nursing in critical care	1478-5153		
	Nutrient Cycling in Agroecosystems	1385-1314		
	Nutrients	2072-6643		
	Nutrition	0899-9007	1873-1244	
	Nutrition Clinique Et Metabolisme	0985-0562		
	Nutrition Research	0271-5317		
	Nutrition Research Reviews	0954-4224		
	Nutrition Research and Practice	1976-1457		
	Nutrition in Clinical Practice	0884-5336	1941-2452	
	Nutrition journal	1475-2891		
	Nutrition reviews	0029-6643	1753-4887	
	Nutritional Neuroscience	1028-415X		
	Nwig-New West Indian Guide-Nieuwe West-Indische Gids	1382-2373		
	Obesity	1930-7381		
	Obesity Reviews	1467-7881	1467-789X	
	Obesity Surgery	0960-8923		
	Obesity research	1071-7323		
	Obstetrical and Gynecological Survey	0029-7828		
	Obstetrics and gynecology	0029-7844	1873-233X	
	Obstetrics and gynecology clinics of North America	0889-8545		
	Occupational Medicine-Oxford	0962-7480		
	Occupational Therapy International	0966-7903		
	Occupational and Environmental Medicine	1351-0711		
	Ocean Dynamics	1616-7341		
	Ocean Engineering	0029-8018		
	Ocean Modelling	1463-5003		
	Ocean Modelling	1463-5003		
	Ocean and Coastal Management	0964-5691		
	Oceanic Linguistics	0029-8115		
	Oceanography	1042-8275		
	Oecologia	0029-8549	1432-1939	
	Oikos	0030-1299		
	Omega-International Journal of Management Science	0305-0483		
	Omega-Journal of Death and Dying	0030-2228		
	Omics a journal of integrative biology	1536-2310		
	Oncogene	0950-9232		
	Oncoimmunology	2162-4011		
	Oncoimmunology	2162-402X		
	Oncologist	1083-7159		
	Oncology	0030-2414	1423-0232	
	Oncology Letters	1792-1074		
	Oncology Nursing Forum	0190-535X	1538-0688	
	Oncology Reports	1021-335X		
	Oncology research	0965-0407		
	Oncology-New York	0890-9091		
	Oncotarget	1949-2553		
	Onderstepoort Journal of Veterinary Research	0030-2465		
	Online Information Review	1468-4527		
	Open Biology	2046-2441		
	Operational Research	1109-2858		
	Operations Research	0030-364X		
	Operations Research Letters	0167-6377		
	Operative dentistry	0361-7734		
	Operators and Matrices	1846-3886		
	Ophthalmic Genetics	1381-6810		
	Ophthalmic Plastic and Reconstructive Surgery	0740-9303		
	Ophthalmic Research	0030-3747	1423-0259	
	Ophthalmic Surgery Lasers and Imaging	1542-8877		
	Ophthalmic and Physiological Optics	0275-5408		
	Ophthalmology	0161-6420		
	Ophthalmology clinics of North America	0896-1549		
	Optical Engineering	0091-3286		
	Optical Materials	0925-3467		
	Optical Switching and Networking	1573-4277		
	Optics Communications	0030-4018		
	Optics Express	1094-4087		
	Optics Letters	0146-9592	1539-4794	
	Optics and Spectroscopy	0030-400X	1562-6911	
	Optimal Control Applications and Methods	0143-2087		
	Optimization	0233-1934		
	Optimization Letters	1862-4472		
	Optimization Methods and Software	1055-6788		
	Optimization and Engineering	1389-4420		
	Optometry	1529-1839		
	Optometry and Vision Science	1040-5488		
	Oral Diseases	1354-523X	1601-0825	
	Oral Health and Preventive Dentistry	1602-1622		
	Oral History Review	0094-0798		
	Oral Oncology	1368-8375		
	Oral Surgery Oral Medicine Oral Pathology Oral Radiology	2212-4403		
	"Oral Surgery	 Oral Medicine	 Oral Pathology	 Oral Radiology & Endodontics"	1079-2104	1528-395X	
	Oral and Maxillofacial Surgery Clinics of North America	1042-3699		
	Oral microbiology and immunology	0902-0055		
	Order-a Journal On the Theory of Ordered Sets and Its Applications	0167-8094		
	Organic & Biomolecular Chemistry	1477-0520	1477-0539	
	Organic Electronics	1566-1199		
	Organic Geochemistry	0146-6380	1873-5290	
	Organic Letters	1523-7060	1523-7052	
	Organic Process Research and Development	1083-6160		
	Organization Science	1047-7039		
	Organization and Environment	1086-0266		
	Organizational Behavior and Human Decision Processes	0749-5978		
	Organizational Psychology Review	2041-3866		
	Organizational Research Methods	1094-4281		
	Organogenesis	1547-6278		
	Organometallics	0276-7333		
	Oriental Insects	0030-5316		
	Ornitologia Neotropical	1075-4377		
	Orphanet Journal of Rare Diseases	1750-1172		
	Orthodontics and Craniofacial Research	1601-6335		
	Orthopaedics and Traumatology-Surgery and Research	1877-0568		
	Orthopedic clinics of North America	0030-5898	1558-1373	
	Orthopedics	0147-7447		
	Oryx	0030-6053		
	Osiris	0369-7827		
	Osteoarthritis Cartilage	1063-4584		
	Osteoporosis International	0937-941X		
	Ostomy Wound Management	0889-5899		
	Ostrich	0030-6525		
	Otjr-Occupation Participation and Health	1539-4492		
	Otolaryngologic clinics of North America	0030-6665	1557-8259	
	Otolaryngology - Head &amp; Neck Surgery	0194-5998	1097-6817	
	Otology and Neurotology	1531-7129		
	Outcomes management for nursing practice	1093-1783		
	Oxford Economic Papers-New Series	0030-7653		
	Oxford Literary Review	0305-1498		
	Oxidative Medicine and Cellular Longevity	1942-0900		
	PLoS Neglected Tropical Diseases	1935-2727	1935-2735	
	PLoS One	1932-6203		
	PLoS Pathogens	1553-7366	1553-7374	
	PM&R Journal	1934-1482		
	PSEF CD Journals	0032-1052	1529-4242	
	Pacific Economic Review	1361-374X	1468-0106	
	Pacific Historical Review	0030-8684		
	Pacific Journal of Optimization	1348-9151		
	Pacific Science	0030-8870		
	Pacific Symposium on Biocomputing	1793-5091		
	Pacing and Clinical Electrophysiology	0147-8389		
	Packaging Technology and Science	0894-3214		
	Paedagogica Historica	0030-9230		
	Paediatric anaesthesia	1155-5645		
	Paediatric drugs	1174-5878		
	Paediatric respiratory reviews	1526-0542		
	Pain	0304-3959		
	Pain Medicine	1526-2375	1526-4637	
	Pain Physician	1533-3159		
	Pain Practice	1530-7085		
	Pain Research & Management	1203-6765		
	Pain management nursing	1524-9042		
	Pakistan Journal of Botany	0556-3321		
	Pakistan Journal of Zoology	0030-9923		
	Palaeogeography Palaeoclimatology Palaeoecology	0031-0182		
	Palaeontographica Abteilung A-Palaozoologie-Stratigraphie	0375-0442		
	Palaeontographica Abteilung B-Palaophytologie	0375-0299		
	Palaeontologia Electronica	1094-8074		
	Palaeontology	0031-0239		
	Palaios	0883-1351		
	Paleobiology	0094-8373		
	Paleoceanography	0883-8305		
	Paleontological Journal	0031-0301		
	Palliative Medicine	0269-2163	1477-030X	
	Palynology	0191-6122		
	Pan-Pacific Entomologist	0031-0603		
	Pancreas	0885-3177	1536-4828	
	Pancreatology	1424-3903		
	Papers On Language and Literature	0031-1294		
	Parallel Computing	0167-8191		
	Parasites and Vectors	1756-3305		
	Parasitology	0031-1820	1469-8161	
	Parasitology Today	0169-4758	1873-1473	
	Parasitology research	0932-0113		
	Park Science	0735-9462	1090-9966	
	Parkinsonism & Related Disorders	1353-8020		
	Parkinsonism & related disorders	1353-8020		
	Parkinsons Disease	2090-8083		
	Particle and Fibre Toxicology	1743-8977		
	Particle and Particle Systems Characterization	0934-0866		
	Party Politics	1354-0688		
	Past and Present	0031-2746		
	Pathogens and Disease	2049-632X		
	Pathogens and Global Health	2047-7724		
	Pathology Research and Practice	0344-0338	1618-0631	
	Pathology and Oncology Research	1219-4956		
	Pathology international	1440-1827		
	Patient Preference and Adherence	1177-889X		
	Patient education and counseling	0738-3991		
	Patient-Patient Centered Outcomes Research	1178-1653		
	Pattern Analysis and Applications	1433-7541		
	Pattern Recognition	0031-3203		
	Pattern Recognition Letters	0167-8655		
	Patterns of Prejudice	0031-322X		
	Pci Journal	0887-9672		
	Pediatric Allergy Immunology and Pulmonology	2151-321X		
	Pediatric Critical Care Medicine	1529-7535	1947-3893	
	Pediatric Diabetes	1399-543X	1399-5448	
	Pediatric Drugs	1174-5878		
	Pediatric Exercise Science	0899-8493		
	Pediatric Nephrology	0931-041X		
	Pediatric Neurosurgery	1016-2291		
	Pediatric Obesity	2047-6310		
	Pediatric Physical Therapy	0898-5669	1538-005X	
	Pediatric Transplantation	1397-3142	1399-3046	
	Pediatric allergy and immunology	0905-6157		
	Pediatric and Developmental Pathology	1093-5266		
	Pediatric annals	0090-4481		
	Pediatric blood & cancer	1545-5009		
	Pediatric cardiology	0172-0643		
	Pediatric case reviews	1532-9798		
	Pediatric dentistry	0164-1263		
	Pediatric dermatology	0736-8046	1525-1470	
	Pediatric emergency care	0749-5161		
	Pediatric endocrinology reviews : PER	1565-4753		
	Pediatric hematology and oncology	0888-0018		
	Pediatric neurology	0887-8994		
	Pediatric pulmonology	8755-6863		
	Pediatric radiology	0301-0449		
	Pediatric research	0031-3998		
	Pediatric surgery international	0179-0358	1437-9813	
	Pediatric transplantation. Supplement	1397-3142		
	Pediatrics	0031-4005	1098-4275	
	Pediatrics American Academy of Pediatrics	1098-4275		
	Pediatrics and Neonatology	1875-9572		
	Pediatrics in Review	0191-9601		
	Pedosphere	1002-0160		
	Peer-To-Peer Networking and Applications	1936-6442		
	Peerj	2167-8359		
	Pennsylvania Magazine of History and Biography	0031-4587		
	Peptides	0196-9781		
	Perception & psychophysics	0031-5117		
	Perceptual and motor skills	0031-5125		
	Perfusion-Uk	0267-6591		
	Peritoneal Dialysis International	0896-8608		
	Permafrost and Periglacial Processes	1045-6740		
	Personal Relationships	1350-4126		
	Personal and Ubiquitous Computing	1617-4909		
	Personality Disorders-Theory Research and Treatment	1949-2715		
	Personality and Individual Differences	0191-8869		
	Personality and Social Psychology Bulletin	0146-1672	1552-7433	
	Personality and Social Psychology Review	1088-8683		
	Personalized Medicine	1741-0541		
	Personnel Psychology	0031-5826		
	Persoonia	0031-5850		
	Perspectives On Politics	1537-5927		
	Perspectives On Psychological Science	1745-6916		
	Perspectives in psychiatric care	0031-5990		
	Perspectives in public health	1757-9139		
	Perspectives on sexual and reproductive health	1538-6341		
	Pervasive and Mobile Computing	1574-1192		
	Pesquisa Agropecuaria Brasileira	0100-204X		
	Pesquisa Veterinaria Brasileira	0100-736X		
	Pest Management Science	1526-498X	1526-4998	
	Pesticide Biochemistry and Physiology	0048-3575		
	Pferdeheilkunde	0177-7726		
	Pfluger's Archiv. European journal of physiology	0031-6768		
	Pharmaceutica Acta Helvetiae	0031-6865		
	Pharmaceutical Biology	1388-0209		
	Pharmaceutical Research	0724-8741		
	Pharmaceutical development and technology	1083-7450		
	PharmacoEconomics	1170-7690		
	Pharmacoepidemiology and Drug Safety	1053-8569		
	Pharmacogenetics and Genomics	1744-6872	1744-6880	
	Pharmacogenomics	1462-2416	1744-8042	
	Pharmacological Research	1043-6618		
	Pharmacological reviews	0031-6997		
	Pharmacology	0031-7012		
	Pharmacology and Therapeutics	0163-7258		
	"Pharmacology	 Biochemistry	 and Behavior"	0091-3057		
	Pharmacotherapy	0277-0008		
	Pharmacy in history	0031-7047		
	Pharmacy world & science	0928-1231		
	Phi Delta Kappan	0031-7217		
	Philippine Agricultural Scientist	0031-7454		
	Phillip Journal	0945-1412		
	Philosophical Magazine	1478-6435		
	Philosophical Magazine Letters	0950-0839		
	Philosophical Quarterly	0031-8094		
	Philosophical Studies	0031-8116		
	Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences	1364-503X		
	Philosophical Transactions of the Royal Society of London - Series A: Mathematical and Physical Sciences	0080-4614		
	Philosophical psychology	0954-0121		
	"Philosophical transactions of the Royal Society of London. Series B	 Containing papers of a biological character"	0962-8436	1471-2970	
	Philosophy East and West	0031-8221		
	Philosophy and Phenomenological Research	0031-8205		
	Philosophy and Social Criticism	0191-4537		
	Philosophy of the Social Sciences	0048-3931		
	Phoenix-the Journal of the Classical Association of Canada	0031-8299		
	Photochemical and Photobiological Sciences	1474-905X		
	Photochemistry and photobiology	0031-8655		
	Photogrammetric Engineering and Remote Sensing	0099-1112		
	Photogrammetric Record	0031-868X		
	Photosynthesis Research	0166-8595		
	Photosynthetica	0300-3604		
	Phycologia	0031-8884		
	Physica A-Statistical Mechanics and Its Applications	0378-4371		
	Physica B-Condensed Matter	0921-4526		
	Physica C-Superconductivity and Its Applications	0921-4534		
	Physica D-Nonlinear Phenomena	0167-2789		
	Physica E-Low-Dimensional Systems and Nanostructures	1386-9477		
	Physica Scripta	0031-8949		
	Physica Status Solidi A-Applications and Materials Science	1862-6300		
	Physica Status Solidi B-Basic Solid State Physics	0370-1972		
	Physica Status Solidi-Rapid Research Letters	1862-6254		
	Physical Biology	1478-3967		
	Physical Chemistry Chemical Physics	1463-9076	1463-9084	
	Physical Geography	0272-3646		
	Physical Review Applied	2331-7019		
	Physical Review B	1098-0121		
	Physical Review C	0556-2813		
	Physical Review D	1550-7998		
	"Physical Review E - Statistical Physics	 Plasmas	 Fluids	 and Related Interdisciplinary Topics"	1063-651X	1095-3787	
	"Physical Review E - Statistical	 Nonlinear and Soft Matter Physics"	1539-3755	1550-2376	
	Physical Review Letters	0031-9007	1079-7114	
	Physical Review X	2160-3308		
	Physical Review a	1050-2947		
	Physical Therapy in Sport	1466-853X		
	Physical and occupational therapy in pediatrics	1541-3144		
	Physical medicine and rehabilitation clinics of North America	1047-9651		
	Physical therapy	0031-9023	1538-6724	
	Physician executive	0898-2759		
	Physics Letters B	0370-2693		
	Physics Letters a	0375-9601		
	Physics Reports-Review Section of Physics Letters	0370-1573		
	Physics Today	0031-9228		
	Physics in Medicine and Biology	0031-9155	1361-6560	
	Physics of Fluids	1070-6631		
	Physics of the Earth and Planetary Interiors	0031-9201		
	Physiologia Plantarum	0031-9317	1399-3054	
	Physiological Entomology	0307-6962		
	Physiological Genomics	1094-8341	1531-2267	
	Physiological and Biochemical Zoology	1522-2152	1537-5293	
	Physiological and Molecular Plant Pathology	0885-5765		
	Physiological measurement	0967-3334		
	Physiological reviews	0031-9333		
	Physiology	1548-9213		
	Physiology and Behavior	0031-9384	1873-507X	
	Physiotherapy Theory and Practice	0959-3985		
	Phytochemical Analysis	0958-0344		
	Phytochemistry	0031-9422	1873-3700	
	Phytochemistry Letters	1874-3900		
	Phytochemistry Reviews	1568-7767		
	Phytokeys	1314-2011		
	Phytomedicine	0944-7113		
	Phytoparasitica	0334-2123		
	Phytopathology	0031-949X		
	Phytotaxa	1179-3155		
	Phytotherapy Research	0951-418X		
	Pigment Cell Research	0893-5785		
	Pigment Cell and Melanoma Research	1755-1471		
	Placenta	0143-4004		
	Planetary and Space Science	0032-0633		
	Planning Perspectives	0266-5433		
	Planning Theory	1473-0952		
	Plant & cell physiology	0032-0781		
	Plant Biosystems	1126-3504		
	Plant Biotechnology Journal	1467-7644	1467-7652	
	Plant Biotechnology Reports	1863-5466		
	Plant Breeding	0179-9541		
	Plant Cell Reports	0721-7714		
	Plant Cell Tissue and Organ Culture	0167-6857		
	Plant Cell and Environment	0140-7791		
	Plant Disease	0191-2917		
	Plant Ecology	1385-0237		
	Plant Ecology and Diversity	1755-0874		
	Plant Ecology and Evolution	2032-3913		
	Plant Genome	1940-3372		
	Plant Growth Regulation	0167-6903		
	Plant Methods	1746-4811		
	Plant Molecular Biology	0167-4412		
	Plant Molecular Biology Reporter	0735-9640		
	Plant Pathology	0032-0862		
	Plant Physiology	0032-0889	1532-2548	
	Plant Physiology and Biochemistry	0981-9428		
	Plant Science	0168-9452	1873-2259	
	Plant Soil and Environment	1214-1178		
	Plant Species Biology	0913-557X		
	Plant Systematics and Evolution	0378-2697		
	Plant and Soil	0032-079X		
	Planta	0032-0935	1432-2048	
	Planta medica an international journal of natural products and medicinal plant research	0032-0943	1439-0221	
	Plasma Processes and Polymers	1612-8850		
	Plasmid	0147-619X		
	Plastic surgical nursing	0741-5206		
	Platelets	0953-7104		
	Plos Biology	1545-7885		
	Plos Biology	1544-9173	1545-7885	
	Plos Computational Biology	1553-734X		
	Plos Computational Biology	1553-7358		
	Plos Genetics	1553-7404		
	Plos Genetics	1553-7390	1553-7404	
	Plos Medicine	1549-1277		
	Plos Neglected Tropical Diseases	1935-2735		
	Plos Pathogens	1553-7374		
	Ploughshares	0048-4474		
	Pmla-Publications of the Modern Language Association of America	0030-8129		
	Point of Care	1533-029X		
	Polar-Political and Legal Anthropology Review	1081-6976		
	Police Quarterly	1098-6111		
	Policy Sciences	0032-2687		
	Polish Journal of Environmental Studies	1230-1485		
	Political Behavior	0190-9320		
